channel_class,merged_file,source_file,job_id,run_id,channel_type,mode,N,sample,n_samples_in_block,orig_s,orig_total,protocol,p,t,status
channels,2_5.txt,unitary_upper_bound_N2_12181206.out,12181206,20260819_104029_job12181206_unitary_upper_bound_N2,channels,diff,2,5,5,5,5,GEN,0.94114,4.5,Solved
channels,3_5.txt,unitary_upper_bound_N3_12181207.out,12181207,20260819_104029_job12181207_unitary_upper_bound_N3,channels,diff,3,1,5,1,5,PAR,0.857281,17.5,Solved
channels,3_5.txt,unitary_upper_bound_N3_12181207.out,12181207,20260819_104029_job12181207_unitary_upper_bound_N3,channels,diff,3,1,5,1,5,SEQ,0.875322,60.9,Solved
channels,3_5.txt,unitary_upper_bound_N3_12181207.out,12181207,20260819_104029_job12181207_unitary_upper_bound_N3,channels,diff,3,1,5,1,5,pQC-CC,0.875322,118.1,Solved
channels,3_5.txt,unitary_upper_bound_N3_12181207.out,12181207,20260819_104029_job12181207_unitary_upper_bound_N3,channels,diff,3,1,5,1,5,QC-SupFO,0.880258,22.4,Solved
channels,3_5.txt,unitary_upper_bound_N3_12181207.out,12181207,20260819_104029_job12181207_unitary_upper_bound_N3,channels,diff,3,1,5,1,5,QC-QC,0.880374,25.6,Solved
channels,3_5.txt,unitary_upper_bound_N3_12181207.out,12181207,20260819_104029_job12181207_unitary_upper_bound_N3,channels,diff,3,1,5,1,5,GEN,0.881132,5.7,Solved
channels,3_5.txt,unitary_upper_bound_N3_12181207.out,12181207,20260819_104029_job12181207_unitary_upper_bound_N3,channels,diff,3,2,5,2,5,PAR,0.885812,17.6,Solved
channels,3_5.txt,unitary_upper_bound_N3_12181207.out,12181207,20260819_104029_job12181207_unitary_upper_bound_N3,channels,diff,3,2,5,2,5,SEQ,0.91399,63.9,Solved
channels,3_5.txt,unitary_upper_bound_N3_12181207.out,12181207,20260819_104029_job12181207_unitary_upper_bound_N3,channels,diff,3,2,5,2,5,pQC-CC,0.91399,143.3,Solved
channels,3_5.txt,unitary_upper_bound_N3_12181207.out,12181207,20260819_104029_job12181207_unitary_upper_bound_N3,channels,diff,3,2,5,2,5,QC-SupFO,0.921073,20.8,Solved
channels,3_5.txt,unitary_upper_bound_N3_12181207.out,12181207,20260819_104029_job12181207_unitary_upper_bound_N3,channels,diff,3,2,5,2,5,QC-QC,0.921264,24.0,Solved
channels,3_5.txt,unitary_upper_bound_N3_12181207.out,12181207,20260819_104029_job12181207_unitary_upper_bound_N3,channels,diff,3,2,5,2,5,GEN,0.922514,5.3,Solved
channels,3_5.txt,unitary_upper_bound_N3_12181207.out,12181207,20260819_104029_job12181207_unitary_upper_bound_N3,channels,diff,3,3,5,3,5,PAR,0.816848,21.7,Solved
channels,3_5.txt,unitary_upper_bound_N3_12181207.out,12181207,20260819_104029_job12181207_unitary_upper_bound_N3,channels,diff,3,3,5,3,5,SEQ,0.836411,65.5,Solved
channels,3_5.txt,unitary_upper_bound_N3_12181207.out,12181207,20260819_104029_job12181207_unitary_upper_bound_N3,channels,diff,3,3,5,3,5,pQC-CC,0.836411,143.4,Solved
channels,3_5.txt,unitary_upper_bound_N3_12181207.out,12181207,20260819_104029_job12181207_unitary_upper_bound_N3,channels,diff,3,3,5,3,5,QC-SupFO,0.845338,23.7,Solved
channels,3_5.txt,unitary_upper_bound_N3_12181207.out,12181207,20260819_104029_job12181207_unitary_upper_bound_N3,channels,diff,3,3,5,3,5,QC-QC,0.845579,23.8,Solved
channels,3_5.txt,unitary_upper_bound_N3_12181207.out,12181207,20260819_104029_job12181207_unitary_upper_bound_N3,channels,diff,3,3,5,3,5,GEN,0.847015,5.7,Solved
channels,3_5.txt,unitary_upper_bound_N3_12181207.out,12181207,20260819_104029_job12181207_unitary_upper_bound_N3,channels,diff,3,4,5,4,5,PAR,0.827624,14.6,Solved
channels,3_5.txt,unitary_upper_bound_N3_12181207.out,12181207,20260819_104029_job12181207_unitary_upper_bound_N3,channels,diff,3,4,5,4,5,SEQ,0.842876,56.9,Solved
channels,3_5.txt,unitary_upper_bound_N3_12181207.out,12181207,20260819_104029_job12181207_unitary_upper_bound_N3,channels,diff,3,4,5,4,5,pQC-CC,0.842876,118.6,Solved
channels,3_5.txt,unitary_upper_bound_N3_12181207.out,12181207,20260819_104029_job12181207_unitary_upper_bound_N3,channels,diff,3,4,5,4,5,QC-SupFO,0.850764,23.6,Solved
channels,3_5.txt,unitary_upper_bound_N3_12181207.out,12181207,20260819_104029_job12181207_unitary_upper_bound_N3,channels,diff,3,4,5,4,5,QC-QC,0.851017,23.7,Solved
channels,3_5.txt,unitary_upper_bound_N3_12181207.out,12181207,20260819_104029_job12181207_unitary_upper_bound_N3,channels,diff,3,4,5,4,5,GEN,0.852533,6.2,Solved
channels,3_5.txt,unitary_upper_bound_N3_12181207.out,12181207,20260819_104029_job12181207_unitary_upper_bound_N3,channels,diff,3,5,5,5,5,PAR,0.815097,14.6,Solved
channels,3_5.txt,unitary_upper_bound_N3_12181207.out,12181207,20260819_104029_job12181207_unitary_upper_bound_N3,channels,diff,3,5,5,5,5,SEQ,0.83504,61.4,Solved
channels,3_5.txt,unitary_upper_bound_N3_12181207.out,12181207,20260819_104029_job12181207_unitary_upper_bound_N3,channels,diff,3,5,5,5,5,pQC-CC,0.835181,133.8,Solved
channels,3_5.txt,unitary_upper_bound_N3_12181207.out,12181207,20260819_104029_job12181207_unitary_upper_bound_N3,channels,diff,3,5,5,5,5,QC-SupFO,0.843711,18.7,Solved
channels,3_5.txt,unitary_upper_bound_N3_12181207.out,12181207,20260819_104029_job12181207_unitary_upper_bound_N3,channels,diff,3,5,5,5,5,QC-QC,0.844016,22.0,Solved
channels,3_5.txt,unitary_upper_bound_N3_12181207.out,12181207,20260819_104029_job12181207_unitary_upper_bound_N3,channels,diff,3,5,5,5,5,GEN,0.845701,6.6,Solved
