N,PAR,SEQ,pQC-CC,QC-SupFO,QC-QC,GEN,total_time
2,15.460000,45.120000,95.660000,18.580000,18.580000,4.380000,197.780000
3,17.200000,61.720000,131.440000,21.840000,23.820000,5.900000,261.920000
