N,SEQ/PAR,pQC-CC/PAR,QC-SupFO/PAR,QC-QC/PAR,GEN/PAR,PAR/SEQ,pQC-CC/SEQ,QC-SupFO/SEQ,QC-QC/SEQ,GEN/SEQ,PAR/pQC-CC,SEQ/pQC-CC,QC-SupFO/pQC-CC,QC-QC/pQC-CC,GEN/pQC-CC,PAR/QC-SupFO,SEQ/QC-SupFO,pQC-CC/QC-SupFO,QC-QC/QC-SupFO,GEN/QC-SupFO,PAR/QC-QC,SEQ/QC-QC,pQC-CC/QC-QC,QC-SupFO/QC-QC,GEN/QC-QC,PAR/GEN,SEQ/GEN,pQC-CC/GEN,QC-SupFO/GEN,QC-QC/GEN
2,1.013873,1.013873,1.016054,1.016132,1.016549,0.986317,1.000000,1.002152,1.002228,1.002640,0.986317,1.000000,1.002152,1.002228,1.002640,0.984200,0.997853,0.997853,1.000077,1.000487,0.984124,0.997777,0.997777,0.999923,1.000411,0.983720,0.997367,0.997367,0.999513,0.999590
3,1.024028,1.024061,1.032952,1.033215,1.034796,0.976536,1.000033,1.008715,1.008971,1.010516,0.976504,0.999967,1.008682,1.008939,1.010483,0.968099,0.991361,0.991393,1.000255,1.001785,0.967853,0.991108,0.991141,0.999746,1.001530,0.966374,0.989594,0.989626,0.998218,0.998472
