N,SEQ-PAR_max_diff,SEQ-PAR_sample,SEQ-PAR_run_id,SEQ-PAR_job_id,pQC-CC-PAR_max_diff,pQC-CC-PAR_sample,pQC-CC-PAR_run_id,pQC-CC-PAR_job_id,QC-SupFO-PAR_max_diff,QC-SupFO-PAR_sample,QC-SupFO-PAR_run_id,QC-SupFO-PAR_job_id,QC-QC-PAR_max_diff,QC-QC-PAR_sample,QC-QC-PAR_run_id,QC-QC-PAR_job_id,GEN-PAR_max_diff,GEN-PAR_sample,GEN-PAR_run_id,GEN-PAR_job_id,pQC-CC-SEQ_max_diff,pQC-CC-SEQ_sample,pQC-CC-SEQ_run_id,pQC-CC-SEQ_job_id,QC-SupFO-SEQ_max_diff,QC-SupFO-SEQ_sample,QC-SupFO-SEQ_run_id,QC-SupFO-SEQ_job_id,QC-QC-SEQ_max_diff,QC-QC-SEQ_sample,QC-QC-SEQ_run_id,QC-QC-SEQ_job_id,GEN-SEQ_max_diff,GEN-SEQ_sample,GEN-SEQ_run_id,GEN-SEQ_job_id,QC-SupFO-pQC-CC_max_diff,QC-SupFO-pQC-CC_sample,QC-SupFO-pQC-CC_run_id,QC-SupFO-pQC-CC_job_id,QC-QC-pQC-CC_max_diff,QC-QC-pQC-CC_sample,QC-QC-pQC-CC_run_id,QC-QC-pQC-CC_job_id,GEN-pQC-CC_max_diff,GEN-pQC-CC_sample,GEN-pQC-CC_run_id,GEN-pQC-CC_job_id,QC-QC-QC-SupFO_max_diff,QC-QC-QC-SupFO_sample,QC-QC-QC-SupFO_run_id,QC-QC-QC-SupFO_job_id,GEN-QC-SupFO_max_diff,GEN-QC-SupFO_sample,GEN-QC-SupFO_run_id,GEN-QC-SupFO_job_id,GEN-QC-QC_max_diff,GEN-QC-QC_sample,GEN-QC-QC_run_id,GEN-QC-QC_job_id
2,0.017065,1,20260819_104029_job12181206_unitary_upper_bound_N2,12181206,0.017065,1,20260819_104029_job12181206_unitary_upper_bound_N2,12181206,0.017802,3,20260819_104029_job12181206_unitary_upper_bound_N2,12181206,0.017913,3,20260819_104029_job12181206_unitary_upper_bound_N2,12181206,0.018633,3,20260819_104029_job12181206_unitary_upper_bound_N2,12181206,0.000000,1,20260819_104029_job12181206_unitary_upper_bound_N2,12181206,0.003479,3,20260819_104029_job12181206_unitary_upper_bound_N2,12181206,0.003590,3,20260819_104029_job12181206_unitary_upper_bound_N2,12181206,0.004310,3,20260819_104029_job12181206_unitary_upper_bound_N2,12181206,0.003479,3,20260819_104029_job12181206_unitary_upper_bound_N2,12181206,0.003590,3,20260819_104029_job12181206_unitary_upper_bound_N2,12181206,0.004310,3,20260819_104029_job12181206_unitary_upper_bound_N2,12181206,0.000111,3,20260819_104029_job12181206_unitary_upper_bound_N2,12181206,0.000831,3,20260819_104029_job12181206_unitary_upper_bound_N2,12181206,0.000720,3,20260819_104029_job12181206_unitary_upper_bound_N2,12181206
3,0.028178,2,20260819_104029_job12181207_unitary_upper_bound_N3,12181207,0.028178,2,20260819_104029_job12181207_unitary_upper_bound_N3,12181207,0.035261,2,20260819_104029_job12181207_unitary_upper_bound_N3,12181207,0.035452,2,20260819_104029_job12181207_unitary_upper_bound_N3,12181207,0.036702,2,20260819_104029_job12181207_unitary_upper_bound_N3,12181207,0.000141,5,20260819_104029_job12181207_unitary_upper_bound_N3,12181207,0.008927,3,20260819_104029_job12181207_unitary_upper_bound_N3,12181207,0.009168,3,20260819_104029_job12181207_unitary_upper_bound_N3,12181207,0.010661,5,20260819_104029_job12181207_unitary_upper_bound_N3,12181207,0.008927,3,20260819_104029_job12181207_unitary_upper_bound_N3,12181207,0.009168,3,20260819_104029_job12181207_unitary_upper_bound_N3,12181207,0.010604,3,20260819_104029_job12181207_unitary_upper_bound_N3,12181207,0.000305,5,20260819_104029_job12181207_unitary_upper_bound_N3,12181207,0.001990,5,20260819_104029_job12181207_unitary_upper_bound_N3,12181207,0.001685,5,20260819_104029_job12181207_unitary_upper_bound_N3,12181207
