N,PAR,SEQ,pQC-CC,QC-SupFO,QC-QC,GEN
2,0.925057,0.937890,0.937890,0.939908,0.939980,0.940366
3,0.840532,0.860728,0.860756,0.868229,0.868450,0.869779
