N,PAR,SEQ,pQC-CC,QC-SupFO,QC-QC,GEN,total_time
2,6.568000,20.268000,43.716000,8.176000,8.940000,2.376000,90.044000
3,9.872000,29.836000,70.804000,11.872000,12.636000,3.504000,138.524000
