N,PAR,SEQ,pQC-CC,QC-SupFO,QC-QC,GEN
2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
