channel_class,merged_file,source_file,job_id,run_id,channel_type,mode,N,sample,n_samples_in_block,orig_s,orig_total,protocol,p,t,status
unitary,2_25.txt,unitary_upper_bound_N2_12178091.out,12178091,20260818_145406_job12178091_unitary_upper_bound_N2,unitary,diff,2,5,25,5,5,GEN,1.0,2.5,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12178093.out,12178093,20260818_145406_job12178093_unitary_upper_bound_N2,unitary,diff,2,6,25,1,5,PAR,1.0,6.2,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12178093.out,12178093,20260818_145406_job12178093_unitary_upper_bound_N2,unitary,diff,2,6,25,1,5,SEQ,1.0,19.0,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12178093.out,12178093,20260818_145406_job12178093_unitary_upper_bound_N2,unitary,diff,2,6,25,1,5,pQC-CC,1.0,43.2,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12178093.out,12178093,20260818_145406_job12178093_unitary_upper_bound_N2,unitary,diff,2,6,25,1,5,QC-SupFO,1.0,7.8,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12178093.out,12178093,20260818_145406_job12178093_unitary_upper_bound_N2,unitary,diff,2,6,25,1,5,QC-QC,1.0,7.7,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12178093.out,12178093,20260818_145406_job12178093_unitary_upper_bound_N2,unitary,diff,2,6,25,1,5,GEN,1.0,2.3,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12178093.out,12178093,20260818_145406_job12178093_unitary_upper_bound_N2,unitary,diff,2,7,25,2,5,PAR,1.0,6.2,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12178093.out,12178093,20260818_145406_job12178093_unitary_upper_bound_N2,unitary,diff,2,7,25,2,5,SEQ,1.0,19.5,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12178093.out,12178093,20260818_145406_job12178093_unitary_upper_bound_N2,unitary,diff,2,7,25,2,5,pQC-CC,1.0,48.2,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12178093.out,12178093,20260818_145406_job12178093_unitary_upper_bound_N2,unitary,diff,2,7,25,2,5,QC-SupFO,1.0,8.9,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12178093.out,12178093,20260818_145406_job12178093_unitary_upper_bound_N2,unitary,diff,2,7,25,2,5,QC-QC,1.0,8.9,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12178093.out,12178093,20260818_145406_job12178093_unitary_upper_bound_N2,unitary,diff,2,7,25,2,5,GEN,1.0,2.2,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12178093.out,12178093,20260818_145406_job12178093_unitary_upper_bound_N2,unitary,diff,2,8,25,3,5,PAR,1.0,7.2,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12178093.out,12178093,20260818_145406_job12178093_unitary_upper_bound_N2,unitary,diff,2,8,25,3,5,SEQ,1.0,21.7,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12178093.out,12178093,20260818_145406_job12178093_unitary_upper_bound_N2,unitary,diff,2,8,25,3,5,pQC-CC,1.0,43.0,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12178093.out,12178093,20260818_145406_job12178093_unitary_upper_bound_N2,unitary,diff,2,8,25,3,5,QC-SupFO,1.0,7.8,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12178093.out,12178093,20260818_145406_job12178093_unitary_upper_bound_N2,unitary,diff,2,8,25,3,5,QC-QC,1.0,11.5,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12178093.out,12178093,20260818_145406_job12178093_unitary_upper_bound_N2,unitary,diff,2,8,25,3,5,GEN,1.0,2.6,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12178093.out,12178093,20260818_145406_job12178093_unitary_upper_bound_N2,unitary,diff,2,9,25,4,5,PAR,1.0,6.2,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12178093.out,12178093,20260818_145406_job12178093_unitary_upper_bound_N2,unitary,diff,2,9,25,4,5,SEQ,1.0,18.3,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12178093.out,12178093,20260818_145406_job12178093_unitary_upper_bound_N2,unitary,diff,2,9,25,4,5,pQC-CC,1.0,43.0,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12178093.out,12178093,20260818_145406_job12178093_unitary_upper_bound_N2,unitary,diff,2,9,25,4,5,QC-SupFO,1.0,8.9,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12178093.out,12178093,20260818_145406_job12178093_unitary_upper_bound_N2,unitary,diff,2,9,25,4,5,QC-QC,1.0,8.9,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12178093.out,12178093,20260818_145406_job12178093_unitary_upper_bound_N2,unitary,diff,2,9,25,4,5,GEN,1.0,2.2,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12178093.out,12178093,20260818_145406_job12178093_unitary_upper_bound_N2,unitary,diff,2,10,25,5,5,PAR,1.0,6.2,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12178093.out,12178093,20260818_145406_job12178093_unitary_upper_bound_N2,unitary,diff,2,10,25,5,5,SEQ,1.0,21.7,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12178093.out,12178093,20260818_145406_job12178093_unitary_upper_bound_N2,unitary,diff,2,10,25,5,5,pQC-CC,1.0,48.4,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12178093.out,12178093,20260818_145406_job12178093_unitary_upper_bound_N2,unitary,diff,2,10,25,5,5,QC-SupFO,1.0,7.8,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12178093.out,12178093,20260818_145406_job12178093_unitary_upper_bound_N2,unitary,diff,2,10,25,5,5,QC-QC,1.0,11.5,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12178093.out,12178093,20260818_145406_job12178093_unitary_upper_bound_N2,unitary,diff,2,10,25,5,5,GEN,1.0,2.6,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12181188.out,12181188,20260819_095706_job12181188_unitary_upper_bound_N2,unitary,diff,2,11,25,1,5,PAR,1.0,7.6,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12181188.out,12181188,20260819_095706_job12181188_unitary_upper_bound_N2,unitary,diff,2,11,25,1,5,SEQ,1.0,19.3,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12181188.out,12181188,20260819_095706_job12181188_unitary_upper_bound_N2,unitary,diff,2,11,25,1,5,pQC-CC,1.0,48.7,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12181188.out,12181188,20260819_095706_job12181188_unitary_upper_bound_N2,unitary,diff,2,11,25,1,5,QC-SupFO,1.0,7.9,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12181188.out,12181188,20260819_095706_job12181188_unitary_upper_bound_N2,unitary,diff,2,11,25,1,5,QC-QC,1.0,9.2,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12181188.out,12181188,20260819_095706_job12181188_unitary_upper_bound_N2,unitary,diff,2,11,25,1,5,GEN,1.0,2.3,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12181188.out,12181188,20260819_095706_job12181188_unitary_upper_bound_N2,unitary,diff,2,12,25,2,5,PAR,1.0,6.4,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12181188.out,12181188,20260819_095706_job12181188_unitary_upper_bound_N2,unitary,diff,2,12,25,2,5,SEQ,1.0,18.8,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12181188.out,12181188,20260819_095706_job12181188_unitary_upper_bound_N2,unitary,diff,2,12,25,2,5,pQC-CC,1.0,48.7,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12181188.out,12181188,20260819_095706_job12181188_unitary_upper_bound_N2,unitary,diff,2,12,25,2,5,QC-SupFO,1.0,8.0,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12181188.out,12181188,20260819_095706_job12181188_unitary_upper_bound_N2,unitary,diff,2,12,25,2,5,QC-QC,1.0,9.2,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12181188.out,12181188,20260819_095706_job12181188_unitary_upper_bound_N2,unitary,diff,2,12,25,2,5,GEN,1.0,2.3,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12181188.out,12181188,20260819_095706_job12181188_unitary_upper_bound_N2,unitary,diff,2,13,25,3,5,PAR,1.0,7.3,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12181188.out,12181188,20260819_095706_job12181188_unitary_upper_bound_N2,unitary,diff,2,13,25,3,5,SEQ,1.0,22.5,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12181188.out,12181188,20260819_095706_job12181188_unitary_upper_bound_N2,unitary,diff,2,13,25,3,5,pQC-CC,1.0,43.6,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12181188.out,12181188,20260819_095706_job12181188_unitary_upper_bound_N2,unitary,diff,2,13,25,3,5,QC-SupFO,1.0,8.1,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12181188.out,12181188,20260819_095706_job12181188_unitary_upper_bound_N2,unitary,diff,2,13,25,3,5,QC-QC,1.0,11.8,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12181188.out,12181188,20260819_095706_job12181188_unitary_upper_bound_N2,unitary,diff,2,13,25,3,5,GEN,1.0,2.7,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12181188.out,12181188,20260819_095706_job12181188_unitary_upper_bound_N2,unitary,diff,2,14,25,4,5,PAR,1.0,7.3,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12181188.out,12181188,20260819_095706_job12181188_unitary_upper_bound_N2,unitary,diff,2,14,25,4,5,SEQ,1.0,22.8,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12181188.out,12181188,20260819_095706_job12181188_unitary_upper_bound_N2,unitary,diff,2,14,25,4,5,pQC-CC,1.0,48.9,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12181188.out,12181188,20260819_095706_job12181188_unitary_upper_bound_N2,unitary,diff,2,14,25,4,5,QC-SupFO,1.0,9.3,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12181188.out,12181188,20260819_095706_job12181188_unitary_upper_bound_N2,unitary,diff,2,14,25,4,5,QC-QC,1.0,9.5,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12181188.out,12181188,20260819_095706_job12181188_unitary_upper_bound_N2,unitary,diff,2,14,25,4,5,GEN,1.0,2.9,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12181188.out,12181188,20260819_095706_job12181188_unitary_upper_bound_N2,unitary,diff,2,15,25,5,5,PAR,1.0,6.4,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12181188.out,12181188,20260819_095706_job12181188_unitary_upper_bound_N2,unitary,diff,2,15,25,5,5,SEQ,1.0,19.0,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12181188.out,12181188,20260819_095706_job12181188_unitary_upper_bound_N2,unitary,diff,2,15,25,5,5,pQC-CC,1.0,48.7,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12181188.out,12181188,20260819_095706_job12181188_unitary_upper_bound_N2,unitary,diff,2,15,25,5,5,QC-SupFO,1.0,9.2,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12181188.out,12181188,20260819_095706_job12181188_unitary_upper_bound_N2,unitary,diff,2,15,25,5,5,QC-QC,1.0,8.1,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12181188.out,12181188,20260819_095706_job12181188_unitary_upper_bound_N2,unitary,diff,2,15,25,5,5,GEN,1.0,2.4,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12181190.out,12181190,20260819_095706_job12181190_unitary_upper_bound_N2,unitary,diff,2,16,25,1,5,PAR,1.0,7.6,Solved
