N,SEQ/PAR,pQC-CC/PAR,QC-SupFO/PAR,QC-QC/PAR,GEN/PAR,PAR/SEQ,pQC-CC/SEQ,QC-SupFO/SEQ,QC-QC/SEQ,GEN/SEQ,PAR/pQC-CC,SEQ/pQC-CC,QC-SupFO/pQC-CC,QC-QC/pQC-CC,GEN/pQC-CC,PAR/QC-SupFO,SEQ/QC-SupFO,pQC-CC/QC-SupFO,QC-QC/QC-SupFO,GEN/QC-SupFO,PAR/QC-QC,SEQ/QC-QC,pQC-CC/QC-QC,QC-SupFO/QC-QC,GEN/QC-QC,PAR/GEN,SEQ/GEN,pQC-CC/GEN,QC-SupFO/GEN,QC-QC/GEN
2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
